company,city,lat,lon,founded
OpenAI,San Francisco,37.7749,-122.4194,2015
Anthropic,San Francisco,37.7749,-122.4194,2021
Scale AI,San Francisco,37.7749,-122.4194,2016
Character.AI,Menlo Park,37.453,-122.1817,2021
Inflection AI,Palo Alto,37.4419,-122.143,2022
Adept AI,San Francisco,37.7749,-122.4194,2022
Cohere,San Francisco,37.7749,-122.4194,2019
Perplexity AI,San Francisco,37.7749,-122.4194,2022
Harvey AI,San Francisco,37.7749,-122.4194,2022
Glean,Palo Alto,37.4419,-122.143,2019
Writer,San Francisco,37.7749,-122.4194,2020
You.com,Palo Alto,37.4419,-122.143,2020
Cognition AI,San Francisco,37.7749,-122.4194,2023
Magic,San Francisco,37.7749,-122.4194,2022
Poolside,San Francisco,37.7749,-122.4194,2023
Reka AI,San Francisco,37.7749,-122.4194,2023
Sierra,San Francisco,37.7749,-122.4194,2023
Hebbia,San Francisco,37.7749,-122.4194,2023
Waymo,Mountain View,37.3861,-122.0839,2009
DeepMind US,Mountain View,37.3861,-122.0839,2010
Nuro,Mountain View,37.3861,-122.0839,2016
Aurora,Mountain View,37.3861,-122.0839,2017
Meta AI,Menlo Park,37.453,-122.1817,2013
Databricks,San Francisco,37.7749,-122.4194,2013
C3.ai,Redwood City,37.4852,-122.2364,2009
Cerebras,Sunnyvale,37.3688,-122.0363,2016
SambaNova,Palo Alto,37.4419,-122.143,2017
Midjourney,San Francisco,37.7749,-122.4194,2021
Anduril,Costa Mesa,33.6411,-117.9187,2017
SpaceX AI,Hawthorne,33.9207,-118.3528,2012
Snap AI,Santa Monica,34.0195,-118.4912,2011
Clover Health,San Francisco,37.7749,-122.4194,2014
Aidin,San Diego,32.7157,-117.1611,2018
Palantir,Palo Alto,37.4419,-122.143,2003
Tesla Autopilot,Palo Alto,37.4419,-122.143,2014
Cruise,San Francisco,37.7749,-122.4194,2013
Zoox,Foster City,37.5585,-122.2711,2014
Weights & Biases,San Francisco,37.7749,-122.4194,2017
H2O.ai,Mountain View,37.3861,-122.0839,2012
Jasper AI,San Francisco,37.7749,-122.4194,2021
Copy.ai,San Francisco,37.7749,-122.4194,2020
Writesonic,San Francisco,37.7749,-122.4194,2020
Descript,San Francisco,37.7749,-122.4194,2017
Synthesia,San Francisco,37.7749,-122.4194,2017
Tome,San Francisco,37.7749,-122.4194,2020
Otter.ai,Mountain View,37.3861,-122.0839,2016
Moveworks,Mountain View,37.3861,-122.0839,2016
Observe.AI,San Francisco,37.7749,-122.4194,2017
Snorkel AI,Redwood City,37.4852,-122.2364,2019
Labelbox,San Francisco,37.7749,-122.4194,2018
Primer,San Francisco,37.7749,-122.4194,2015
Shield AI,San Diego,32.7157,-117.1611,2015
Embodied,Pasadena,34.1478,-118.1445,2016
