Ticker,Name,PE_Ratio,Growth,Market_Cap,Sector,Market_Cap_B
MSFT,Microsoft Corporation,32.91037,0.127,3657192177664,Technology,3657.192177664
AAPL,Apple Inc.,33.555954,0.912,4138242670592,Technology,4138.242670592
NVDA,NVIDIA Corporation,42.961166,0.667,4301985153024,Technology,4301.985153024
AMZN,"Amazon.com, Inc.",37.92195,0.364,2493172154368,Consumer Cyclical,2493.172154368
GOOGL,Alphabet Inc.,35.734375,0.353,3878058983424,Communication Services,3878.058983424
META,"Meta Platforms, Inc.",25.610674,-0.826,1633175863296,Communication Services,1633.175863296
TSLA,"Tesla, Inc.",132.76852,-0.371,1430667657216,Consumer Cyclical,1430.667657216
BRK-B,Berkshire Hathaway Inc. New,25.588148,0.172,1108460175360,Financial Services,1108.46017536
LLY,Eli Lilly and Company,47.461163,4.804,964112351232,Healthcare,964.112351232
AVGO,Broadcom Inc.,65.30956,1.881,1902924136448,Technology,1902.924136448
JPM,JP Morgan Chase & Co.,18.702509,0.16,860892889088,Financial Services,860.892889088
XOM,Exxon Mobil Corporation,14.729352,-0.083,494195605504,Energy,494.195605504
UNH,UnitedHealth Group Incorporated,11.029097,-0.602,298718396416,Healthcare,298.718396416
V,Visa Inc.,26.417063,0.12,649128640512,Financial Services,649.128640512
PG,Procter & Gamble Company (The),19.967655,0.214,346766311424,Consumer Defensive,346.766311424
MA,Mastercard Incorporated,33.609894,0.229,497685659648,Financial Services,497.685659648
JNJ,Johnson & Johnson,19.520754,0.91,498531336192,Healthcare,498.531336192
HD,"Home Depot, Inc. (The)",22.879488,-0.014,355317972992,Consumer Cyclical,355.317972992
MRK,"Merck & Company, Inc.",11.152128,0.87,261842632704,Healthcare,261.842632704
COST,Costco Wholesale Corporation,46.422256,0.11,405156233216,Consumer Defensive,405.156233216
ABBV,AbbVie Inc.,18.77164,-0.887,402433474560,Healthcare,402.43347456
CVX,Chevron Corporation,13.689312,-0.266,304500113408,Energy,304.500113408
CRM,"Salesforce, Inc.",20.713387,0.333,220396240896,Technology,220.396240896
BAC,Bank of America Corporation,14.65847,0.315,397382746112,Financial Services,397.382746112
WMT,Walmart Inc.,40.628677,0.352,881915985920,Consumer Defensive,881.91598592
AMD,"Advanced Micro Devices, Inc.",42.652943,0.603,354147893248,Technology,354.147893248
NFLX,"Netflix, Inc.",4.5239697,0.087,455851245568,Communication Services,455.851245568
PEP,"Pepsico, Inc.",17.235226,-0.108,203636555776,Consumer Defensive,203.636555776
KO,Coca-Cola Company (The),24.61953,0.301,314684145664,Consumer Defensive,314.684145664
TMO,Thermo Fisher Scientific Inc,25.152407,0.005,221979607040,Healthcare,221.97960704
DIS,Walt Disney Company (The),20.285437,1.873,187830140928,Communication Services,187.830140928
ADBE,Adobe Inc.,15.578103,0.112,135799144448,Technology,135.799144448
CSCO,"Cisco Systems, Inc.",19.728205,0.06,303997222912,Technology,303.997222912
ACN,Accenture plc,17.768301,-0.155,155713175552,Technology,155.713175552
MCD,McDonald's Corporation,24.727995,0.016,222516133888,Consumer Cyclical,222.516133888
CMCSA,Comcast Corporation,6.0936074,-0.042,98544992256,Communication Services,98.544992256
PFE,"Pfizer, Inc.",8.784983,-0.213,146350112768,Healthcare,146.350112768
NKE,"Nike, Inc.",20.009287,-0.3,95536152576,Consumer Cyclical,95.536152576
VZ,Verizon Communications Inc.,8.691332,0.5,173337247744,Communication Services,173.337247744
DHR,Danaher Corporation,27.062052,0.134,162386182144,Healthcare,162.386182144
TXN,Texas Instruments Incorporated,28.617348,0.007,152980504576,Technology,152.980504576
NEE,"NextEra Energy, Inc.",23.44837,0.311,179708395520,Utilities,179.70839552
PM,Philip Morris International Inc,21.872223,0.131,245139456000,Consumer Defensive,245.139456
BMY,Bristol-Myers Squibb Company,6.9985776,0.809,100159053824,Healthcare,100.159053824
LIN,Linde plc,24.207668,0.27,192402964480,Basic Materials,192.40296448
RTX,RTX Corporation,28.62684,0.294,234514432000,Industrials,234.514432
HON,Honeywell International Inc.,17.45595,0.324,129511022592,Industrials,129.511022592
AMGN,Amgen Inc.,16.71311,0.136,186023510016,Healthcare,186.023510016
UNP,Union Pacific Corporation,19.143684,0.095,137512484864,Industrials,137.512484864
